# JD, Flux_unabs, LowerErr, UpperErr
2457518.71624 1.8784e-12 2.7022877222872947e-13 1.5281627089766833e-13
2457533.41341 2.0606e-12 3.2385332573166107e-13 1.7935286963131874e-13
2457546.76301 1.5204e-12 1.8512882158069098e-13 2.0034207288215797e-13
2457563.57753 2.2019e-12 4.3908273388131337e-13 3.267227490853801e-13
2457568.90892 2.3586e-12 3.6912213314743844e-13 3.419928895085395e-13
2457699.38222 2.8159e-12 2.5929413599053757e-13 1.7471317609950192e-13
2457712.58699 1.9595e-12 3.315830781792202e-13 3.339829557052484e-14
2457727.01353 2.5947e-12 2.914500871788913e-13 2.5646401255376027e-13
2457741.17628 2.8505e-12 4.160713838991003e-13 3.980459157082799e-13
2457746.47229 1.9967e-12 4.629318484742196e-13 1.0135075913213408e-13
2457755.17853 2.6434e-12 2.923236428405482e-13 3.105426934097422e-13
2458542.80707 6.97e-12 5.140926242091218e-13 1.7589747636332304e-13
2458549.526 4.7163e-12 4.942938545502953e-13 3.490610285308605e-13
2458556.68231 3.6267e-12 4.198658636375871e-13 4.616474469058712e-13
2458561.7308 5.8011e-12 8.623121572684948e-13 1.9707133988618736e-13
2458565.71318 5.7868e-12 3.348733613950688e-13 3.6619098015634393e-13
2458571.38119 6.5557e-12 2.2112658953799154e-12 3.349189232531503e-13
2458584.84601 1.1346e-11 6.959999999999995e-13 2.5400000000000114e-13
2458592.08391 8.3405e-12 4.4337744270498156e-13 4.1866094829784935e-13
2458598.58789 9.6452e-12 7.394613330015344e-13 2.1361771805399926e-13
2458606.0412 8.0261e-12 7.05549441702807e-13 2.396507601814457e-13
2458613.32997 7.6244e-12 8.943672740795844e-13 5.375114912606918e-13
2458619.96542 5.48e-12 2.914203241802973e-13 3.615883354303904e-13
2458626.53948 4.006e-12 2.4449292695796385e-13 2.4268112264127224e-13
2458633.77734 6.5554e-12 4.187680316797648e-13 3.791249263261294e-13
2458684.37758 6.1847e-12 3.0886947399527133e-13 3.541540845810352e-13
2458828.46554 4.3693e-12 3.93110569525134e-13 4.0859585249321453e-13
2458835.78503 2.7325e-12 7.477853856266433e-13 1.27325080338884e-13
2458877.13365 2.0537e-12 8.285916048304961e-13 3.556798438333578e-13
2458880.18729 2.9007e-12 5.910254751022373e-13 2.0644522835836305e-13
2458975.53266 3.7002e-12 4.050718017702926e-13 1.5440313702278742e-13
2459016.04402 3.3089e-12 2.39731102907245e-13 2.7128806337486557e-13
2459016.51149 2.4152e-12 8.222000000000002e-13 3.647999999999998e-13
2459184.14302 1.22e-12 1.7140495867768603e-13 1.2099173553718996e-13
